iter	Passed	Remaining
0	126	126587
1	127	63613
2	128	42627
3	128	32115
4	129	25799
5	130	21582
6	131	18590
7	131	16340
8	132	14598
9	133	13188
10	133	12035
11	134	11076
12	135	10286
13	136	9595
14	136	8994
15	137	8466
16	138	8001
17	139	7591
18	139	7215
19	140	6877
20	140	6571
21	141	6292
22	142	6037
23	142	5803
24	143	5595
25	144	5397
26	144	5213
27	145	5050
28	146	4894
29	146	4747
30	147	4610
31	148	4482
32	148	4359
33	149	4246
34	150	4139
35	150	4035
36	151	3937
37	151	3844
38	152	3760
39	153	3677
40	154	3613
41	155	3540
42	155	3468
43	156	3400
44	160	3405
45	161	3347
46	162	3289
47	163	3248
48	165	3207
49	166	3171
50	167	3119
51	168	3068
52	169	3020
53	169	2976
54	170	2930
55	171	2891
56	172	2856
57	173	2818
58	174	2779
59	175	2745
60	175	2707
61	176	2671
62	177	2637
63	178	2607
64	180	2590
65	180	2561
66	181	2529
67	182	2496
68	182	2468
69	183	2441
70	186	2436
71	187	2412
72	187	2386
73	188	2359
74	189	2333
75	189	2307
76	190	2282
77	191	2259
78	191	2236
79	192	2215
80	193	2192
81	193	2170
82	194	2148
83	195	2126
84	195	2104
85	197	2093
86	197	2076
87	199	2070
88	201	2059
89	201	2042
90	202	2023
91	203	2007
92	204	1989
93	204	1972
94	205	1956
95	205	1939
96	206	1923
97	207	1907
98	207	1892
99	208	1878
100	209	1863
101	209	1846
102	210	1831
103	210	1817
104	211	1804
105	212	1790
106	212	1777
107	213	1764
108	214	1751
109	214	1738
110	215	1724
111	215	1711
112	216	1699
113	217	1689
114	218	1679
115	218	1666
116	219	1655
117	219	1643
118	220	1631
119	221	1620
120	221	1609
121	222	1598
122	222	1586
123	223	1576
124	223	1566
125	224	1556
126	224	1546
127	225	1535
128	225	1525
129	226	1516
130	227	1507
131	227	1498
132	228	1489
133	229	1480
134	229	1471
135	230	1462
136	231	1457
137	232	1449
138	232	1441
139	233	1432
140	233	1424
141	234	1416
142	234	1407
143	235	1399
