iter	Passed	Remaining
0	107	106960
1	107	53751
2	108	36032
3	109	27216
4	109	21886
5	110	18311
6	111	15765
7	111	13875
8	112	12382
9	112	11186
10	113	10218
11	114	9406
12	114	8716
13	115	8139
14	116	7636
15	116	7188
16	117	6799
17	118	6456
18	118	6141
19	119	5858
20	120	5602
21	120	5368
22	121	5154
23	121	4959
24	122	4785
25	123	4620
26	123	4467
27	124	4326
28	125	4196
29	126	4078
30	126	3961
31	127	3850
32	127	3748
33	128	3652
34	129	3561
35	130	3485
36	130	3407
37	131	3329
38	132	3254
39	132	3185
40	133	3119
41	133	3055
42	134	2994
43	135	2937
44	135	2881
45	136	2829
46	137	2780
47	137	2733
48	138	2686
49	139	2644
50	139	2602
51	140	2561
52	141	2522
53	141	2485
54	142	2447
55	143	2413
56	143	2381
57	144	2348
58	145	2315
59	145	2285
60	146	2256
61	147	2228
62	147	2199
63	148	2171
64	149	2145
65	149	2118
66	151	2106
67	152	2084
68	152	2060
69	153	2038
70	154	2019
71	155	1998
72	155	1977
73	156	1957
74	157	1937
75	157	1917
76	158	1902
77	159	1884
78	160	1865
79	160	1847
80	161	1832
81	162	1815
82	162	1795
83	163	1778
84	163	1762
85	164	1747
86	165	1732
87	165	1719
88	166	1705
89	167	1690
90	167	1675
91	168	1661
92	169	1649
93	169	1636
94	170	1624
95	171	1611
96	171	1598
97	172	1589
98	173	1580
99	174	1569
100	175	1557
101	175	1546
102	176	1535
103	177	1525
104	177	1514
105	178	1503
106	178	1493
107	179	1482
108	180	1473
109	180	1463
110	181	1453
111	182	1444
112	182	1434
113	183	1425
114	184	1417
115	184	1408
116	185	1398
117	186	1390
118	186	1381
119	187	1374
120	188	1366
121	188	1357
122	189	1349
123	189	1341
124	190	1334
125	191	1327
126	191	1318
127	192	1310
128	193	1303
129	193	1295
130	194	1288
131	194	1281
132	195	1276
133	196	1269
134	197	1262
135	197	1256
136	198	1251
137	199	1245
138	199	1238
139	200	1232
140	201	1226
141	202	1220
142	202	1215
143	203	1210
144	204	1203
145	205	1199
146	205	1194
147	206	1188
148	207	1182
149	207	1176
150	208	1171
151	208	1165
152	209	1160
153	210	1157
154	211	1151
155	211	1146
156	212	1141
157	213	1136
158	213	1131
159	214	1126
160	214	1120
161	215	1115
162	216	1109
163	217	1106
164	217	1103
165	218	1099
166	219	1094
167	220	1091
168	221	1086
169	221	1082
170	222	1078
171	223	1074
172	223	1070
173	224	1067
174	225	1063
175	226	1058
176	226	1054
177	227	1050
178	228	1046
179	228	1042
180	229	1038
181	230	1034
182	230	1030
183	231	1026
184	232	1023
185	233	1019
186	233	1016
187	234	1012
188	235	1008
189	235	1005
190	236	1001
191	237	997
192	237	993
193	238	990
194	239	987
195	240	984
196	240	981
197	241	977
198	241	973
199	242	970
200	243	967
201	243	963
202	244	960
203	245	956
204	245	953
205	246	950
206	247	947
207	248	945
208	248	941
209	249	938
210	250	935
211	250	932
212	251	928
213	252	925
214	252	922
215	253	920
216	254	917
217	255	914
218	255	912
219	256	909
220	257	906
221	258	904
222	258	901
223	259	898
224	259	895
225	260	892
226	261	889
227	262	887
228	262	885
229	263	883
230	264	880
231	265	877
232	265	875
233	266	873
234	267	871
235	268	869
236	269	866
237	270	864
238	270	861
239	271	859
240	271	856
241	272	854
242	273	851
243	274	849
244	274	847
245	275	844
246	276	843
247	277	840
248	278	838
249	278	836
250	279	834
251	280	831
252	280	829
253	281	827
254	282	825
255	283	823
256	283	820
257	284	818
258	285	816
259	285	813
260	286	811
261	287	809
262	287	806
263	288	804
264	289	802
265	290	800
266	290	798
267	291	796
268	292	794
269	293	792
270	294	790
271	294	788
272	295	786
273	296	784
274	297	783
275	297	781
